"seed","NodeNames","Structure","ATC","Distance","Jaccard","GO","KEGG","PCA","RWR"
"DB00006","DB00278",0.5,0.8,0.666666666666667,0.5,0.298611111111111,0.857142857142857,1.53324563492063,0.0627973833075644
"DB00006","DB06605",0.38,0.6,0.307692307692308,0.25,0.275641025641026,0.142857142857143,0.78115663003663,0.0352388838666767
"DB00006","DB09030",0.31,0.6,0.5,0,0.0729166666666667,0.375,0.653744166666667,0.0292401146198937
"DB00006","DB13125",0.38,0.2,0.461538461538461,0.166666666666667,0.311181434599156,0.142857142857143,0.645335760189178,0.0292320917478458
"DB00006","DB11995",0.4,0.2,0.380952380952381,0.111111111111111,0.2003367003367,0.125,0.518249398749398,0.0238175142658938
"DB00006","DB00569",0.32,0.6,0.4,0,0.0344827586206897,0.142857142857143,0.480219901477833,0.0234430909722146
"DB00006","DB09075",0.41,0.6,0.333333333333333,0,0.0123456790123457,0.142857142857143,0.473316895943563,0.0224351397317747
"DB00006","DB00775",0.32,0.6,0.416666666666667,0,0.0300546448087432,0.222222222222222,0.525540837887067,0.0216048130242232
"DB00007","DB00665",0.36,0.4,0.283185840707965,0.6,0.416814449917898,0.692307692307692,1.31609501940151,0.00244431422801564
"DB00007","DB06810",0.47,0.2,0.288659793814433,0.5,0.231799450549451,0.818181818181818,1.16677923568699,0.00231934258918225
"DB00014","DB06202",0.34,0,0.308823529411765,0.25,0.438822751322751,0.666666666666667,0.954446500155618,0.00831580520769762
"DB00014","DB04573",0.29,0,0.318181818181818,0.2,0.446587013510788,0.6,0.880298959284313,0.00803581229536966
"DB00014","DB11619",0.27,0,0.302158273381295,0.3,0.423612537954021,0.444444444444444,0.834247966978379,0.00759603466195193
"DB00014","DB09123",0.22,0,0.328125,0.25,0.427984472675943,0.384615384615385,0.765606054997131,0.00736209622562656
"DB00014","DB09371",0.19,0,0.311111111111111,0.222222222222222,0.427984472675943,0.384615384615385,0.736795777219353,0.00712391140890265
"DB00014","DB06719",0.92,0.8,0.269230769230769,0.25,0.0744590939824206,0.333333333333333,0.956187434857232,0.00697261070128894
"DB00014","DB06401",0.49,0,0.318181818181818,0.222222222222222,0.395944766890482,0.384615384615385,0.791832992020687,0.0069449988899564
"DB00014","DB00304",0.18,0,0.304347826086957,0.2,0.41790516631281,0.384615384615385,0.712503911457631,0.00681104935203429
"DB00014","DB00882",0.23,0,0.318181818181818,0.125,0.443778020113898,0.454545454545455,0.735269794014298,0.00677505850918602
"DB00014","DB00294",0.21,0,0.311111111111111,0.2,0.394706559263521,0.333333333333333,0.678452888377445,0.00662356779765138
"DB00014","DB04938",0.24,0,0.318181818181818,0.222222222222222,0.403281880127938,0.375,0.729999919849307,0.00659371274333372
