"DrugBankID","ENTREZID","Symbol"
"DB06151",10912,"GADD45G"
"DB06151",2623,"GATA1"
"DB06151",2633,"GBP1"
"DB06151",2729,"GCLC"
"DB06151",2730,"GCLM"
"DB06151",2657,"GDF1"
"DB06151",2668,"GDNF"
"DB06151",2701,"GJA4"
"DB06151",2720,"GLB1"
"DB06151",2745,"GLRX"
"DB06151",2746,"GLUD1"
"DB06151",2811,"GP1BA"
"DB06151",2876,"GPX1"
"DB06151",2879,"GPX4"
"DB06151",2912,"GRM2"
"DB06151",2913,"GRM3"
"DB06151",2915,"GRM5"
"DB06151",79792,"GSDMD"
"DB06151",2932,"GSK3B"
"DB06151",2936,"GSR"
"DB06151",2944,"GSTM1"
"DB06151",51454,"GULP1"
"DB06151",2993,"GYPA"
"DB06151",3014,"H2AX"
"DB06151",10456,"HAX1"
"DB06151",1839,"HBEGF"
"DB06151",283450,"HECTD4"
"DB06151",9709,"HERPUD1"
"DB06151",3082,"HGF"
"DB06151",3091,"HIF1A"
"DB06151",3099,"HK2"
"DB06151",3145,"HMBS"
"DB06151",8091,"HMGA2"
"DB06151",3146,"HMGB1"
"DB06151",3162,"HMOX1"
"DB06151",3265,"HRAS"
"DB06151",3291,"HSD11B2"
"DB06151",7923,"HSD17B8"
"DB06151",3297,"HSF1"
"DB06151",7184,"HSP90B1"
"DB06151",3303,"HSPA1A"
"DB06151",3304,"HSPA1B"
"DB06151",3309,"HSPA5"
"DB06151",3329,"HSPD1"
"DB06151",10553,"HTATIP2"
"DB06151",3383,"ICAM1"
"DB06151",3398,"ID2"
"DB06151",51278,"IER5"
"DB06151",3433,"IFIT2"
"DB06151",3458,"IFNG"
"DB06151",3475,"IFRD1"
"DB06151",3479,"IGF1"
"DB06151",3484,"IGFBP1"
"DB06151",3485,"IGFBP2"
"DB06151",3487,"IGFBP4"
"DB06151",3551,"IKBKB"
"DB06151",3586,"IL10"
"DB06151",3588,"IL10RB"
"DB06151",3596,"IL13"
"DB06151",3600,"IL15"
"DB06151",3603,"IL16"
"DB06151",3606,"IL18"
"DB06151",3552,"IL1A"
"DB06151",3553,"IL1B"
"DB06151",3558,"IL2"
"DB06151",11009,"IL24"
"DB06151",9466,"IL27RA"
"DB06151",3562,"IL3"
"DB06151",3565,"IL4"
"DB06151",3566,"IL4R"
"DB06151",3567,"IL5"
"DB06151",3569,"IL6"
"DB06151",3630,"INS"
"DB06151",3643,"INSR"
