"drug1","drug2","skin","blood","lymphoma","prostate","brain","pancreas","colorectal","stomach","thyroid","breast","ovary","lung","kidney","liver","uterus","bladder"
"DB00242","DB00563",0.0402924644176637,0.0403492427431706,0.0428304153819796,0.0952268468641524,0.0571452267466446,0.077574605041252,0.0449242779412098,0.0989119834913632,0.0678141156044172,0.0628494704300966,0.0752471259696179,0.0488580988786502,0.0715446115695018,0.143714869685571,0.0846865691639012,0.11385783824788
"DB00317","DB00773",0.0276770579778514,0.0375038431111772,0.0323665182094084,0.0986089044168299,0.0541228797518154,0.0765744121026171,0.0409963741810522,0.0789348462812329,0.0640741884205756,0.0590643248871661,0.0669554118720381,0.0370691671388779,0.0615232050810577,0.136438860785248,0.0837981517000941,0.103766097650946
"DB00331","DB01017",0.0434959586568804,0.0529698056358963,0.0421575251095885,0.0990278416412964,0.0735793525235127,0.0753143631983366,0.0529446567720733,0.111122594221879,0.0893745303685518,0.071270058662972,0.0862716723996002,0.0570007388759788,0.0748157839490555,0.14486867112585,0.0975058864531242,0.132810924007375
"DB00367","DB00481",0.0509792423337723,0.0495405862169487,0.0453070505196667,0.110152275802815,0.0719231238657685,0.0909634897620282,0.0489096205701562,0.104647333475678,0.0847192086295205,0.0637274253290321,0.0868338204693162,0.0614524040696462,0.0697326849878976,0.140942316983776,0.0977747049272755,0.125953215941712
"DB00398","DB00773",0.0313181281116239,0.0401903153990475,0.0335620418962816,0.103512760997556,0.0578161306327718,0.0767134256832063,0.0421587222323081,0.0814254298604511,0.0677211319796831,0.0593969872682152,0.0664058877621923,0.0396524246035703,0.0651613794795494,0.13711111019319,0.0831948671527643,0.108118846214501
"DB00441","DB00762",0.0292802101923482,0.0368744015611631,0.0414416828315429,0.0882345170369645,0.0519011730246304,0.0602043158861343,0.0305067241568544,0.083902662993572,0.0647991276400366,0.0499684104963001,0.0555405953872277,0.0440051103902384,0.0542610672087909,0.141364784205693,0.082945405230759,0.106185476334078
"DB00441","DB00773",0.0207142687044015,0.0245934132908094,0.0281741967822386,0.0837898748105039,0.0444029177445571,0.0638148760330577,0.0257216471713544,0.077060973370064,0.0514372359963271,0.0420395332066572,0.0532329559429312,0.0307311879912142,0.0470587950153982,0.134391781450872,0.0723551185253206,0.0987454961122791
"DB00441","DB01204",0.0244807634503634,0.0258987676859208,0.0310033869001891,0.0855588986796088,0.0476315842550323,0.0643760168760978,0.0275675511590243,0.0809907924188318,0.0479931270862612,0.0402867065330574,0.0542301314534561,0.033992266693686,0.0527113925289366,0.134029433547096,0.0712855728577428,0.0974382566221017
"DB00441","DB00853",0.0279070113546946,0.0267019976363205,0.0318154692950907,0.0906515115117368,0.0465417381778721,0.0674517456055981,0.0300628899308506,0.0860240019311098,0.0476991705963263,0.0469513405785367,0.060662345309898,0.037575555165267,0.0527704971579668,0.141035932224173,0.0772715967468591,0.0982605613856204
"DB00441","DB01262",0.023252374603846,0.0243564381557768,0.0275730377875345,0.0856042135654125,0.0442868724514778,0.0641534577835936,0.0260728490195479,0.0799992760859822,0.0486601669406015,0.0424296945470755,0.0556516504449553,0.0328605650699447,0.0482883914862269,0.133443551785533,0.0737432181552795,0.0962829511413004
"DB00530","DB00773",0.0293079385370465,0.036852061241792,0.0321425358425691,0.10013851034204,0.0537727864289053,0.08068477060858,0.0404140739245886,0.0753565970985883,0.0655427442847358,0.057902908384512,0.0658411562824193,0.0356487794424525,0.0625807378597765,0.136045389787381,0.0841124091877339,0.105166559216243
